user,accepteds,failed,rank
andregoncalves,1,1,36
FelipeEmos,2,1,30
ggavena,3,0,22
wmartins,4,0,9
dominguilherme,2,0,26
guilhermehhs,0,1,39
anarequena,1,0,35
b164923,4,0,11
krautz,3,1,19
AnaClaraZS,1,0,37
guilhermetiaki,4,0,7
hboschirolli,2,1,31
Leandroafm21,4,0,14
gfrancioli,3,0,20
gabrielmsato,2,0,27
giocoutinho26,2,0,28
mihmosa,4,0,12
luizguilherme,4,0,13
Gustavo_Salibi,6,0,1
natrodrigues,2,2,32
joaopm,5,1,4
MarcoAurelio,3,1,17
mjoaquim,3,1,15
barney_san,2,3,25
VitoriaDMP,3,2,24
erickkn,3,0,21
gabrielsantosrv,4,1,6
VBS,2,1,29
joaoguilhermeas,4,1,8
JoaoFlores,5,0,3
lumagabinov,4,0,5
pedromorelli96,0,1,38
vitormosso,3,1,18
Fatayer,3,2,23
Fingerman,4,3,10
Ieremies,6,0,2
luizgustavo09,2,2,33
henriquesimoes,3,1,16
mc521721_2019,1,0,34
LadyZizi,0,1,40
